,date,accumulate_stock_count,total_cost,total_value,profit_rate,market_price,total_cost_with_dividend,profit_rate_with_dividend
1262,2018-01-05,1186.0,59536.8090171814,80926.96408081055,0.35927614221743537,68.23521423339844,59536.8090171814,0.35927614221743537
1263,2018-01-08,1186.0,59536.8090171814,81011.79341125488,0.3607009637999937,68.3067398071289,59536.8090171814,0.3607009637999937
1264,2018-01-09,1186.0,59536.8090171814,81149.63768005371,0.3630162418787878,68.42296600341797,59536.8090171814,0.3630162418787878
1265,2018-01-10,1186.0,59536.8090171814,80884.5267944336,0.35856335147373414,68.19943237304688,59536.8090171814,0.35856335147373414
1266,2018-01-11,1186.0,59536.8090171814,81478.41354370117,0.368538470380362,68.70018005371094,59536.8090171814,0.368538470380362
1267,2018-01-12,1186.0,59536.8090171814,82125.32427978516,0.3794041977641944,69.24563598632812,59536.8090171814,0.3794041977641944
1268,2018-01-16,1186.0,59536.8090171814,81934.41078186035,0.37619755130335175,69.08466339111328,59536.8090171814,0.37619755130335175
1269,2018-01-17,1186.0,59536.8090171814,82581.33961486816,0.3870635826491217,69.63013458251953,59536.8090171814,0.3870635826491217
1270,2018-01-18,1186.0,59536.8090171814,82411.65380859375,0.3842134835410986,69.487060546875,59536.8090171814,0.3842134835410986
1271,2018-01-19,1186.0,59536.8090171814,82846.46859741211,0.391516777016113,69.85368347167969,59536.8090171814,0.391516777016113
1272,2018-01-22,1186.0,59536.8090171814,83450.95109558105,0.4016698656372129,70.36336517333984,59536.8090171814,0.4016698656372129
1273,2018-01-23,1186.0,59536.8090171814,83684.28378295898,0.4055889988798191,70.56010437011719,59536.8090171814,0.4055889988798191
1274,2018-01-24,1186.0,59536.8090171814,83822.1190032959,0.40790412497764433,70.67632293701172,59536.8090171814,0.40790412497764433
1275,2018-01-25,1186.0,59536.8090171814,83694.87953186035,0.4057669685942912,70.56903839111328,59536.8090171814,0.4057669685942912
1276,2018-01-26,1186.0,59536.8090171814,84553.86811828613,0.42019482592500385,71.2933120727539,59536.8090171814,0.42019482592500385
1277,2018-01-29,1186.0,59536.8090171814,83853.96054077148,0.4084389460068734,70.70317077636719,59536.8090171814,0.4084389460068734
1278,2018-01-30,1186.0,59536.8090171814,82994.9086151123,0.39401002480937913,69.97884368896484,59536.8090171814,0.39401002480937913
1279,2018-01-31,1186.0,59536.8090171814,83069.15124511719,0.3952570286584342,70.04144287109375,59536.8090171814,0.3952570286584342
1280,2018-02-01,1200.0,60516.6381187439,83985.3515625,0.38780596829761943,69.98779296875,60516.6381187439,0.38780596829761943
1281,2018-02-02,1200.0,60516.6381187439,82150.48828125,0.35748598790396824,68.458740234375,60516.6381187439,0.35748598790396824
1282,2018-02-05,1200.0,60516.6381187439,78995.80993652344,0.30535688022722407,65.82984161376953,60516.6381187439,0.30535688022722407
1283,2018-02-06,1200.0,60516.6381187439,80648.291015625,0.33266310758009043,67.2069091796875,60516.6381187439,0.33266310758009043
1284,2018-02-07,1200.0,60516.6381187439,79618.16711425781,0.3156409475032879,66.34847259521484,60516.6381187439,0.3156409475032879
1285,2018-02-08,1200.0,60516.6381187439,77096.59423828125,0.2739735159610927,64.24716186523438,60516.6381187439,0.2739735159610927
1286,2018-02-09,1200.0,60516.6381187439,77912.07275390625,0.2874487938511978,64.92672729492188,60516.6381187439,0.2874487938511978
1287,2018-02-12,1200.0,60516.6381187439,79070.92895507812,0.3065981755286466,65.89244079589844,60516.6381187439,0.3065981755286466
1288,2018-02-13,1200.0,60516.6381187439,79124.58801269531,0.30748485825401384,65.9371566772461,60516.6381187439,0.30748485825401384
1289,2018-02-14,1200.0,60516.6381187439,80380.01403808594,0.32822999652371193,66.98334503173828,60516.6381187439,0.32822999652371193
1290,2018-02-15,1200.0,60516.6381187439,81270.61157226562,0.34294656971523957,67.72550964355469,60516.6381187439,0.34294656971523957
1291,2018-02-16,1200.0,60516.6381187439,81335.00061035156,0.34401055872863445,67.77916717529297,60516.6381187439,0.34401055872863445
1292,2018-02-20,1200.0,60516.6381187439,80723.38256835938,0.33390394902582693,67.26948547363281,60516.6381187439,0.33390394902582693
1293,2018-02-21,1200.0,60516.6381187439,80422.93395996094,0.32893922167582273,67.01911163330078,60516.6381187439,0.32893922167582273
1294,2018-02-22,1200.0,60516.6381187439,80562.46032714844,0.33124480856109756,67.13538360595703,60516.6381187439,0.33124480856109756
1295,2018-02-23,1200.0,60516.6381187439,81646.18835449219,0.3491527436518951,68.03849029541016,60516.6381187439,0.3491527436518951
1296,2018-02-26,1200.0,60516.6381187439,82408.01696777344,0.3617414901018617,68.67334747314453,60516.6381187439,0.3617414901018617
1297,2018-02-27,1200.0,60516.6381187439,81259.89990234375,0.3427695659976693,67.71658325195312,60516.6381187439,0.3427695659976693
1298,2018-02-28,1200.0,60516.6381187439,80315.63415527344,0.3271661587955457,66.92969512939453,60516.6381187439,0.3271661587955457
1299,2018-03-01,1215.0,61508.646099090576,80352.64640808105,0.3063634383795857,66.13386535644531,61508.646099090576,0.3063634383795857
1300,2018-03-02,1215.0,61508.646099090576,80732.9086303711,0.3125456948005356,66.44683837890625,61508.646099090576,0.3125456948005356
1301,2018-03-05,1215.0,61508.646099090576,81384.76421356201,0.32314348266503806,66.98334503173828,61508.646099090576,0.32314348266503806
1302,2018-03-06,1215.0,61508.646099090576,81862.80338287354,0.33091538465978204,67.37679290771484,61508.646099090576,0.33091538465978204
1303,2018-03-07,1215.0,61508.646099090576,81765.02643585205,0.32932573908598795,67.29631805419922,61508.646099090576,0.32932573908598795
1304,2018-03-08,1215.0,61508.646099090576,82080.09475708008,0.3344480810851998,67.55563354492188,61508.646099090576,0.3344480810851998
1305,2018-03-09,1215.0,61508.646099090576,83112.17548370361,0.3512275225471505,68.40508270263672,61508.646099090576,0.3512275225471505
1306,2018-03-12,1215.0,61508.646099090576,83199.1068649292,0.35264084224671827,68.47663116455078,61508.646099090576,0.35264084224671827
1307,2018-03-13,1215.0,61508.646099090576,82623.29074859619,0.34327929467818025,68.0027084350586,61508.646099090576,0.34327929467818025
1308,2018-03-14,1215.0,61508.646099090576,82536.39644622803,0.3418665778021141,67.93119049072266,61508.646099090576,0.3418665778021141
1309,2018-03-15,1215.0,61508.646099090576,82406.008644104,0.3397467489586379,67.8238754272461,61508.646099090576,0.3397467489586379
1310,2018-03-16,1215.0,61508.646099090576,82416.87274932861,0.339923376244615,67.83281707763672,61508.646099090576,0.339923376244615
1311,2018-03-19,1215.0,61508.646099090576,81547.72579193115,0.3257928919546948,67.11746978759766,61508.646099090576,0.3257928919546948
1312,2018-03-20,1215.0,61508.646099090576,81743.27041625977,0.3289720323964075,67.27841186523438,61508.646099090576,0.3289720323964075
1313,2018-03-21,1215.0,61508.646099090576,81808.47358703613,0.330032097524021,67.33207702636719,61508.646099090576,0.330032097524021
1314,2018-03-22,1215.0,61508.646099090576,79896.37252807617,0.29894539378029755,65.75833129882812,61508.646099090576,0.29894539378029755
1315,2018-03-23,1215.0,61508.646099090576,78549.18640136719,0.2770430074956334,64.6495361328125,61508.646099090576,0.2770430074956334
1316,2018-03-26,1215.0,61508.646099090576,80399.44919586182,0.3071243523445161,66.1723861694336,61508.646099090576,0.3071243523445161
1317,2018-03-27,1215.0,61508.646099090576,79330.93849182129,0.28975263679221547,65.29295349121094,61508.646099090576,0.28975263679221547
1318,2018-03-28,1215.0,61508.646099090576,79298.22566986084,0.2892207957579038,65.26602935791016,61508.646099090576,0.2892207957579038
1319,2018-03-29,1215.0,61508.646099090576,80279.49909210205,0.3051742183167483,66.07366180419922,61508.646099090576,0.3051742183167483
1320,2018-04-02,1230.0,62480.09831619263,79659.08180236816,0.27495128767624477,64.76348114013672,62480.09831619263,0.27495128767624477
1321,2018-04-03,1230.0,62480.09831619263,80497.95021057129,0.2883774574616678,65.44548797607422,62480.09831619263,0.2883774574616678
1322,2018-04-04,1230.0,62480.09831619263,81138.15605163574,0.2986240136982564,65.96598052978516,62480.09831619263,0.2986240136982564
1323,2018-04-05,1230.0,62480.09831619263,81568.63540649414,0.305513877294179,66.31596374511719,62480.09831619263,0.305513877294179
1324,2018-04-06,1230.0,62480.09831619263,80255.12580871582,0.28449102948860977,65.2480697631836,62480.09831619263,0.28449102948860977
1325,2018-04-09,1230.0,62480.09831619263,80740.81214904785,0.29226448621196705,65.64293670654297,62480.09831619263,0.29226448621196705
1326,2018-04-10,1230.0,62480.09831619263,81932.86262512207,0.3113433690594558,66.6120834350586,62480.09831619263,0.3113433690594558
1327,2018-04-11,1230.0,62480.09831619263,81557.59963989258,0.30533724878527824,66.30699157714844,62480.09831619263,0.30533724878527824
1328,2018-04-12,1230.0,62480.09831619263,82043.23905944824,0.31310995453708407,66.70182037353516,62480.09831619263,0.31310995453708407
1329,2018-04-13,1230.0,62480.09831619263,81822.46742248535,0.30957648319320696,66.52233123779297,62480.09831619263,0.30957648319320696
1330,2018-04-16,1230.0,62480.09831619263,82241.93916320801,0.31629016886315964,66.86336517333984,62480.09831619263,0.31629016886315964
1331,2018-04-17,1230.0,62480.09831619263,82904.16961669922,0.3268892311459983,67.40176391601562,62480.09831619263,0.3268892311459983
1332,2018-04-18,1230.0,62480.09831619263,83224.28192138672,0.3320126594586029,67.66201782226562,62480.09831619263,0.3320126594586029
1333,2018-04-19,1230.0,62480.09831619263,82683.43551635742,0.32335636057936235,67.22230529785156,62480.09831619263,0.32335636057936235
1334,2018-04-20,1230.0,62480.09831619263,82142.57972717285,0.31469991150581156,66.78258514404297,62480.09831619263,0.31469991150581156
1335,2018-04-23,1230.0,62480.09831619263,82043.23905944824,0.31310995453708407,66.70182037353516,62480.09831619263,0.31310995453708407
1336,2018-04-24,1230.0,62480.09831619263,81369.9634552002,0.3023341135510343,66.1544418334961,62480.09831619263,0.3023341135510343
1337,2018-04-25,1230.0,62480.09831619263,81336.83738708496,0.3018039276357114,66.12751007080078,62480.09831619263,0.3018039276357114
1338,2018-04-26,1230.0,62480.09831619263,82021.15814208984,0.3127565473249722,66.68386840820312,62480.09831619263,0.3127565473249722
1339,2018-04-27,1230.0,62480.09831619263,82164.67002868652,0.3150534689122337,66.80054473876953,62480.09831619263,0.3150534689122337
1340,2018-04-30,1230.0,62480.09831619263,81612.76908874512,0.30622024113547175,66.35184478759766,62480.09831619263,0.30622024113547175
1341,2018-05-01,1245.0,63474.837772369385,82563.3748626709,0.3007260476782307,66.31596374511719,63474.837772369385,0.3007260476782307
1342,2018-05-02,1245.0,63474.837772369385,82250.53859710693,0.2957975393662308,66.06468963623047,63474.837772369385,0.2957975393662308
1343,2018-05-03,1245.0,63474.837772369385,82216.98955535889,0.2952689985628914,66.0377426147461,63474.837772369385,0.2952689985628914
1344,2018-05-04,1245.0,63474.837772369385,82920.87352752686,0.30635817967576334,66.60311126708984,63474.837772369385,0.30635817967576334
1345,2018-05-07,1245.0,63474.837772369385,83043.76636505127,0.3082942671371465,66.70182037353516,63474.837772369385,0.3082942671371465
1346,2018-05-08,1245.0,63474.837772369385,83054.93671417236,0.3084702478802742,66.7107925415039,63474.837772369385,0.3084702478802742
1347,2018-05-09,1245.0,63474.837772369385,83557.67841339111,0.3163905784689346,67.1146011352539,63474.837772369385,0.3163905784689346
1348,2018-05-10,1245.0,63474.837772369385,84328.56548309326,0.3285353447535948,67.7337875366211,63474.837772369385,0.3285353447535948
1349,2018-05-11,1245.0,63474.837772369385,84507.34806060791,0.33135193450457284,67.87738800048828,63474.837772369385,0.33135193450457284
1350,2018-05-14,1245.0,63474.837772369385,84630.22190093994,0.3332877226789779,67.97608184814453,63474.837772369385,0.3332877226789779
1351,2018-05-15,1245.0,63474.837772369385,83870.53367614746,0.32131938606791255,67.36589050292969,63474.837772369385,0.32131938606791255
1352,2018-05-16,1245.0,63474.837772369385,84295.07343292236,0.3280077018111897,67.7068862915039,63474.837772369385,0.3280077018111897
1353,2018-05-17,1245.0,63474.837772369385,84272.72323608398,0.3276555906814452,67.68893432617188,63474.837772369385,0.3276555906814452
1354,2018-05-18,1245.0,63474.837772369385,83993.40751647949,0.3232551742423176,67.46458435058594,63474.837772369385,0.3232551742423176
1355,2018-05-21,1245.0,63474.837772369385,84473.82751464844,0.33082384263170056,67.8504638671875,63474.837772369385,0.33082384263170056
