,date,accumulate_stock_count,total_cost,total_value,profit_rate,market_price,total_cost_with_dividend,profit_rate_with_dividend
35,2013-03-04,38.0,2846.274024963379,2847.52294921875,0.00043879269684413564,74.934814453125,2846.274024963379,0.00043879269684413564
36,2013-03-05,38.0,2846.274024963379,2903.3566131591797,0.020055197670763702,76.40412139892578,2846.274024963379,0.020055197670763702
37,2013-03-06,38.0,2846.274024963379,2903.3566131591797,0.020055197670763702,76.40412139892578,2846.274024963379,0.020055197670763702
38,2013-03-07,38.0,2846.274024963379,2875.439926147461,0.010247046113016925,75.66947174072266,2846.274024963379,0.010247046113016925
39,2013-03-08,38.0,2846.274024963379,2889.3982696533203,0.015151121891890313,76.03679656982422,2846.274024963379,0.015151121891890313
40,2013-03-11,38.0,2846.274024963379,2847.52294921875,0.00043879269684413564,74.934814453125,2846.274024963379,0.00043879269684413564
41,2013-03-12,38.0,2846.274024963379,2861.4818725585938,0.005343072192569551,75.30215454101562,2846.274024963379,0.005343072192569551
42,2013-03-13,38.0,2846.274024963379,2917.3155364990234,0.02495947716648912,76.7714614868164,2846.274024963379,0.02495947716648912
43,2013-03-14,38.0,2846.274024963379,2903.3566131591797,0.020055197670763702,76.40412139892578,2846.274024963379,0.020055197670763702
44,2013-03-15,38.0,2846.274024963379,2875.439926147461,0.010247046113016925,75.66947174072266,2846.274024963379,0.010247046113016925
45,2013-03-18,38.0,2846.274024963379,2805.648208618164,-0.014273332781350014,73.83284759521484,2846.274024963379,-0.014273332781350014
46,2013-03-19,38.0,2846.274024963379,2791.6895751953125,-0.019177510418649416,73.46551513671875,2846.274024963379,-0.019177510418649416
47,2013-03-20,38.0,2846.274024963379,2758.189666748047,-0.03094725154457514,72.58393859863281,2846.274024963379,-0.03094725154457514
48,2013-03-21,38.0,2846.274024963379,2755.3977661132812,-0.03192814818709063,72.51046752929688,2846.274024963379,-0.03192814818709063
49,2013-03-22,38.0,2846.274024963379,2735.855911254883,-0.03879391539256898,71.99620819091797,2846.274024963379,-0.03879391539256898
50,2013-03-25,38.0,2846.274024963379,2777.7306518554688,-0.024081789914374832,73.09817504882812,2846.274024963379,-0.024081789914374832
51,2013-03-26,38.0,2846.274024963379,2763.7723083496094,-0.02898586569324822,72.73085021972656,2846.274024963379,-0.02898586569324822
52,2013-03-27,38.0,2846.274024963379,2805.648208618164,-0.014273332781350014,73.83284759521484,2846.274024963379,-0.014273332781350014
53,2013-03-28,38.0,2846.274024963379,2791.6895751953125,-0.019177510418649416,73.46551513671875,2846.274024963379,-0.019177510418649416
54,2013-03-29,38.0,2846.274024963379,2805.648208618164,-0.014273332781350014,73.83284759521484,2846.274024963379,-0.014273332781350014
55,2013-04-01,51.0,3810.8759689331055,3784.2076263427734,-0.006997956062526515,74.20014953613281,3810.8759689331055,-0.006997956062526515
56,2013-04-02,51.0,3810.8759689331055,3765.475227355957,-0.011913466076372685,73.83284759521484,3810.8759689331055,-0.011913466076372685
57,2013-04-03,51.0,3810.8759689331055,3765.475227355957,-0.011913466076372685,73.83284759521484,3810.8759689331055,-0.011913466076372685
58,2013-04-08,51.0,3810.8759689331055,3690.539794921875,-0.0315770376659411,72.363525390625,3810.8759689331055,-0.0315770376659411
